c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.8347809829059829	0.05601016286443041	0.813953488372093	45.65
0.9	0.8316079059829059	0.07771793426438849	0.813953488372093	44.5
0.8	0.8329036935286934	0.07885356874606836	0.813953488372093	44.8
0.7	0.8321212352462352	0.08659439923795467	0.813953488372093	44.3
0.6	0.8318300348207119	0.13420904865884184	0.813953488372093	41.25
0.5	0.8228781868800206	0.14078058798945647	0.813953488372093	20.15
0.4	0.8163407668113126	0.1657332628238002	0.813953488372093	2.35
0.3	0.7503928021947515	0.2472050548942865	0.813953488372093	3.0
0.2	0.5432859853685509	0.46514870199019936	0.813953488372093	4.8
0.1	0.49260111318764715	0.4951390190361211	0.813953488372093	5.0
0.0	0.4816734646071611	0.4968949897068673	0.813953488372093	5.75
