c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.7068047805059523	0.22996452136491688	0.6842105263157895	32.95
0.9	0.7065467594471501	0.2634383492639971	0.6842105263157895	32.35
0.8	0.7048439050099206	0.29231177044918877	0.6842105263157895	30.65
0.7	0.7059408972104284	0.317578093419817	0.6842105263157895	31.75
0.6	0.7051771860951548	0.4078049887749454	0.6842105263157895	27.85
0.5	0.6949611153812988	0.5244745057555613	0.6842105263157895	20.6
0.4	0.6282169554873009	0.6345154880877607	0.6842105263157895	15.75
0.3	0.5632918739207176	0.6539199072145074	0.6842105263157895	14.5
0.2	0.48952116806938545	0.6665064271988359	0.6842105263157895	14.65
0.1	0.4797070281306053	0.6604472298057849	0.6842105263157895	15.0
0.0	0.431779431505994	0.6693940025248599	0.6842105263157895	18.25
