c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.22	0.01145338973714942	1.0	178.0
0.9	0.25333333333333335	0.519290986405799	1.0	12.666666666666666
0.8	0.24333333333333335	0.537236763831053	1.0	13.0
0.7	0.27666666666666667	0.5086955515896622	1.0	12.333333333333334
0.6	0.7546086419753086	0.6179426928415626	1.0	6.0
0.5	0.9675611627234816	0.6826987904025381	1.0	4.0
0.4	0.913846913580247	0.6458961817260449	1.0	4.333333333333333
0.3	1.0	0.7170870513583185	1.0	4.0
0.2	1.0	0.7170870513583185	1.0	4.0
0.1	0.5	0.77650472602287	1.0	6.0
0.0	0.0	0.8218071253883272	1.0	8.0
