c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.6145833333333334	0.081499285866796	0.6842105263157895	88.66666666666667
0.9	0.6458333333333334	0.4486155766029648	0.6842105263157895	19.0
0.8	0.6302083333333334	0.4278393791083389	0.6842105263157895	19.333333333333332
0.7	0.6606999771062271	0.5042723614902892	0.6842105263157895	17.666666666666668
0.6	0.7490373992327117	0.5722487215046341	0.6842105263157895	14.333333333333334
0.5	0.7306323450854701	0.591271198562198	0.6842105263157895	11.0
0.4	0.7356584821428571	0.6087700532542293	0.6842105263157895	10.666666666666666
0.3	0.7867063492063492	0.6257558514354181	0.6842105263157895	8.0
0.2	0.7385610959370151	0.6760851404323771	0.6842105263157895	7.0
0.1	0.6604845675158175	0.697405488771836	0.6842105263157895	7.333333333333333
0.0	0.5144028691520468	0.706055932487982	0.6842105263157895	8.0
