c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.78	0.012618552719986156	1.0	366.0
0.9	0.8388888888888889	0.4129927021808956	1.0	8.666666666666666
0.8	0.8866666666666666	0.4430776678936985	1.0	9.333333333333334
0.7	0.8511111111111112	0.4177832268964716	1.0	8.666666666666666
0.6	0.8477777777777777	0.4204947933366594	1.0	9.333333333333334
0.5	0.9803950434003159	0.5359455536360865	1.0	3.0
0.4	0.9740822724492157	0.5505884484679197	1.0	3.0
0.3	0.9640712892601724	0.5218290351214986	1.0	3.0
0.2	0.9467691860014259	0.5667894071748921	1.0	3.0
0.1	1.0	0.6242350868616069	1.0	3.0
0.0	0.0	0.7324616695655909	1.0	6.0
