c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.9849464285714286	0.2902927264160531	1.0	16.7
0.9	0.9863766534391535	0.3428541402980386	1.0	16.95
0.8	0.9752673761423761	0.39232430409918606	1.0	16.5
0.7	0.9581987884800385	0.47981402610840623	1.0	14.85
0.6	0.9522665282021899	0.555585914764276	1.0	13.2
0.5	0.9367945445757946	0.6422455446642215	1.0	8.6
0.4	0.9139547158494528	0.6786259365674744	1.0	6.4
0.3	0.8251629305399623	0.6824645928991786	1.0	6.7
0.2	0.626918865277191	0.699483097901904	1.0	8.3
0.1	0.17500270562770565	0.7169868626490885	1.0	11.55
0.0	0.04014472101972102	0.7159992516698848	1.0	13.65
