c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.9943999035686536	0.15276713596404257	1.0	21.6
0.9	0.9962251082251082	0.2121045673871373	1.0	21.25
0.8	0.9705647077495312	0.33594806332209665	1.0	20.05
0.7	0.9834924843936257	0.5374394209795756	1.0	14.75
0.6	1.0	0.6696145977923195	1.0	7.0
0.5	1.0	0.7161575451120366	1.0	4.0
0.4	0.9637733516483517	0.6956804811950559	1.0	3.9
0.3	0.8375	0.7198855013550136	1.0	4.4
0.2	0.790625	0.7276550664287131	1.0	4.65
0.1	0.496875	0.7606003371009321	1.0	5.9
0.0	0.0	0.819876462423161	1.0	8.05
