c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.9938638888888889	0.02007518333900332	1.0	196.7
0.9	0.9964424603174603	0.023173255750198178	1.0	197.35
0.8	0.9967541666666666	0.023513277452075425	1.0	194.05
0.7	0.9973355158730159	0.023319677478031695	1.0	196.45
0.6	0.995884126984127	0.023783150954223217	1.0	195.15
0.5	0.997008878968254	0.024303052965388212	1.0	194.75
0.4	0.9981842576221908	0.07453838570569592	1.0	180.4
0.3	0.9996813646170443	0.48262446576908175	1.0	46.15
0.2	1.0	0.5596383394420941	1.0	2.75
0.1	1.0	0.5829120607279566	1.0	2.8
0.0	0.0	0.7324616695655909	1.0	6.0
