c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.23529411764705882	-0.03470699574595678	1.0	30.0
0.9	0.35294117647058826	0.2239150940449642	1.0	9.0
0.8	0.3137254901960784	0.22080420781719481	1.0	10.666666666666666
0.7	0.3137254901960784	0.217943191969166	1.0	9.333333333333334
0.6	0.5098039215686274	0.20366622314674265	1.0	7.0
0.5	0.7071078431372549	0.2229905736399243	1.0	5.666666666666667
0.4	0.693815987933635	0.19924976418482915	1.0	4.0
0.3	0.48856209150326796	0.3037518037518038	1.0	3.3333333333333335
0.2	0.28828100004570595	0.38999768869898743	1.0	3.6666666666666665
0.1	0.0982174688057041	0.43238507524221814	1.0	4.0
0.0	0.031559607251648775	0.4395188745838096	1.0	3.6666666666666665
