c	Average Fairness	Modularity	Global Fairness	avg_len
1.0	0.6410256410256411	0.02139394505841654	0.813953488372093	106.0
0.9	0.7264957264957265	0.28067063799343556	0.813953488372093	10.0
0.8	0.6948005698005698	0.28411160974652244	0.813953488372093	10.0
0.7	0.7051282051282052	0.2857765257815815	0.813953488372093	10.333333333333334
0.6	0.7152092188856894	0.323497269611957	0.813953488372093	8.666666666666666
0.5	0.7742688223457453	0.34967296522772656	0.813953488372093	6.666666666666667
0.4	0.8613326488326488	0.3342469870814848	0.813953488372093	6.0
0.3	0.8161538461538462	0.4078108840051997	0.813953488372093	7.0
0.2	0.7723184913646173	0.4616596342769956	0.813953488372093	5.0
0.1	0.5875223118687171	0.5177175379711108	0.813953488372093	5.666666666666667
0.0	0.498214967110339	0.5274633662781378	0.813953488372093	5.666666666666667
